iter	Passed	Remaining
1502	62986	20828
1503	63021	20783
1504	63059	20740
1505	63097	20697
1506	63133	20653
1507	63184	20614
1508	63216	20569
1509	63258	20527
1510	63299	20485
1511	63333	20440
1512	63385	20402
1513	63424	20359
1514	63482	20322
1515	63594	20303
1516	63650	20265
1517	63745	20240
1518	63810	20205
1519	63884	20173
1520	63962	20143
1521	64007	20102
1522	64065	20065
1523	64107	20022
1524	64141	19978
1525	64174	19933
1526	64232	19896
1527	64282	19856
1528	64319	19813
1529	64355	19769
1530	64387	19724
1531	64424	19680
1532	64479	19642
1533	64531	19603
1534	64570	19560
1535	64625	19522
1536	64683	19484
1537	64726	19443
1538	64761	19399
1539	64808	19358
1540	64874	19323
1541	64943	19289
1542	64997	19250
1543	65062	19215
1544	65113	19175
1545	65179	19140
1546	65269	19112
1547	65382	19091
1548	65449	19055
1549	65489	19013
1550	65524	18968
1551	65562	18925
1552	65653	18896
1553	65727	18863
1554	65795	18829
1555	65836	18786
1556	65877	18743
1557	65912	18699
1558	65952	18656
1559	66003	18616
1560	66066	18579
1561	66109	18537
1562	66155	18496
1563	66206	18456
1564	66261	18417
1565	66298	18373
1566	66345	18332
1567	66382	18288
1568	66455	18255
1569	66491	18210
1570	66536	18169
1571	66627	18140
1572	66697	18105
1573	66736	18062
1574	66780	18020
1575	66815	17975
1576	66850	17931
1577	66884	17886
1578	66936	17846
1579	66984	17805
1580	67018	17761
1581	67057	17718
1582	67121	17681
1583	67172	17641
1584	67211	17597
1585	67250	17554
1586	67287	17510
1587	67335	17469
1588	67380	17428
1589	67413	17383
1590	67451	17339
1591	67489	17296
1592	67533	17254
1593	67591	17215
1594	67631	17172
1595	67666	17128
1596	67703	17084
1597	67753	17044
1598	67798	17002
1599	67837	16959
1600	67879	16916
1601	67920	16874
1602	67966	16832
1603	68002	16788
1604	68052	16748
1605	68098	16706
1606	68138	16663
1607	68200	16626
1608	68244	16583
1609	68276	16539
1610	68338	16501
1611	68380	16458
1612	68417	16415
1613	68458	16372
1614	68491	16327
1615	68533	16285
1616	68583	16244
1617	68615	16199
1618	68656	16156
1619	68700	16114
1620	68745	16073
1621	68794	16032
1622	68834	15989
1623	68871	15945
1624	68909	15902
1625	68948	15858
1626	68993	15817
1627	69041	15776
1628	69081	15733
1629	69115	15688
1630	69151	15644
1631	69212	15606
1632	69271	15567
1633	69304	15523
1634	69342	15480
1635	69431	15448
1636	69531	15418
1637	69629	15388
1638	69702	15352
1639	69811	15324
1640	69883	15288
1641	69951	15251
1642	70029	15216
1643	70109	15181
1644	70162	15141
1645	70235	15105
1646	70309	15069
1647	70367	15030
1648	70419	14989
1649	70476	14949
1650	70518	14906
1651	70578	14867
1652	70646	14830
1653	70690	14787
1654	70728	14744
1655	70769	14700
1656	70821	14660
1657	70873	14619
1658	70915	14576
1659	70961	14534
1660	71006	14492
1661	71047	14448
1662	71098	14407
